category1,category2,category3,category4,alcohol,ambience,noise_level,phone,is_closed,name,yelp_url,price,rating,review_count,first_review_rating,first_review_date,transactions,transactions2,transactions3,hot_and_new,latitude,longitude,address1,address2,address3,city,zip_code,country,state
Bars ,Venues & Event Spaces,FoodCourt,,Full Bar,"Hipster, Casual",Average,,FALSE,Berg'n,https://www.yelp.com/biz/bergn-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3.5,320,5,8/27/2014,pickup,restaurant_reservation,delivery,no,40.677258,-73.957327,899 Bergen St,,,Brooklyn,11238,US,NY
Pizza ,Cocktail Bars,WhiskeyBars,,Full Bar,Casual,Average,(347) 240-2813,FALSE,Wheated,https://www.yelp.com/biz/wheated-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,301,5,6/29/2013,pickup,,,no,40.6465969,-73.97049503,905 Church Ave,,,Brooklyn,11218,US,NY
Desserts ,Korean,BubbleTea,,,,,(347) 889-5999,FALSE,TSAôCAA,https://www.yelp.com/biz/tsa%C3%B4caa-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,,3,42,4,10/9/2018,pickup,,delivery,no,40.63639,-74.00922,773 59th St,,,Brooklyn,11220,US,NY
Vietnamese ,Coffee & Tea,,,No,Casual,Quiet,(718) 302-9200,FALSE,Nam Nam,https://www.yelp.com/biz/nam-nam-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$,4.5,417,5,3/9/2011,pickup,,,no,40.70728,-73.94509,109 Montrose Ave,,,Brooklyn,11206,US,NY
Italian ,Wine Bars,Pizza,,Full Bar,"Casual, Intimate",Average,(347) 223-4176,FALSE,Bella Gioia,https://www.yelp.com/biz/bella-gioia-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,182,4,5/1/2014,pickup,,,no,40.6775302,-73.9827215,209 4th Ave,,,Brooklyn,11217,US,NY
Pizza ,Italian,,,Full Bar,"Casual, Romantic",Average,(718) 789-3700,FALSE,Ogliastro,https://www.yelp.com/biz/ogliastro-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,166,5,8/9/2014, pickup ,,delivery,no,40.674397,-73.963448,784 Washington Ave,,,Brooklyn,11238,US,NY
Mexican,,,,Full Bar,,,(646) 688-4180,FALSE,Oxomoco,https://www.yelp.com/biz/oxomoco-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,141,4,6/2/2018,,restaurant_reservation,,no,40.7299099,-73.95548,128 Greenpoint Ave,,,Brooklyn,11222,US,NY
American (Traditional),,,,Full Bar,Trendy,Average,(718) 384-0673,FALSE,Meadowsweet,https://www.yelp.com/biz/meadowsweet-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4,334,5,6/23/2014,,restaurant_reservation,,no,40.7103995,-73.9632384,149 Broadway,,,Brooklyn,11211,US,NY
Chinese,,,,,,,(347) 799-1237,FALSE,Oh Dumplings,https://www.yelp.com/biz/oh-dumplings-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,,4,34,5,8/24/2018, pickup ,,delivery,no,40.6875754,-73.9929996,6 Bergen St,,,Brooklyn,11201,US,NY
Ramen ,Sushi Bars,,,Full Bar,Casual,Average,(718) 599-7171,FALSE,Samurai Papa,https://www.yelp.com/biz/samurai-papa-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,242,4,10/19/2014, pickup ,,delivery,no,40.70289207,-73.9435884,32 Varet St,,,Brooklyn,11206,US,NY
Taiwanese ,Noodles,,,No,Casual,Quiet,(718) 388-3038,FALSE,A-Pou's Taste,https://www.yelp.com/biz/a-pous-taste-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$,4.5,34,4,11/9/2017,pickup,,delivery,no,40.71326,-73.93616,963 Grand St,,,Brooklyn,11211,US,NY
Barbeque ,Beer Bar,,,Full Bar,Casual,Average,(718) 388-9040,FALSE,Northern Bell,https://www.yelp.com/biz/northern-bell-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,247,4,5/21/2014, pickup ,restaurant_reservation,delivery,no,40.71389,-73.94855,612 Metropolitan Ave,,,Brooklyn,11211,US,NY
Gastropubs ,Pubs,CocktailBars,,Full Bar,Casual,Average,(347) 799-2154,FALSE,Lavender Lake,https://www.yelp.com/biz/lavender-lake-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3.5,250,5,6/27/2012,pickup,,,no,40.6786075,-73.9901923,383 Carroll St,,,Brooklyn,11231,US,NY
Vegetarian ,Vegan,,,No,Casual,Average,(347) 405-9727,FALSE,Ital Kitchen,https://www.yelp.com/biz/ital-kitchen-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,112,5,11/14/2013,pickup,restaurant_reservation,,no,40.66962,-73.95804,1032 Union St,,,Brooklyn,11225,US,NY
Szechuan,,,,Beer & Wine Only,"Casual, Trendy",Average,(718) 969-6800,FALSE,Birds of a Feather,https://www.yelp.com/biz/birds-of-a-feather-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,242,5,4/1/2017, pickup , restaurant_reservation,delivery,no,40.71442,-73.960441,191 Grand St,,,Brooklyn,11211,US,NY
Austrian,,,,Full Bar,Casual,Average,(718) 369-7776,FALSE,Cafe Steinhof,https://www.yelp.com/biz/cafe-steinhof-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,369,3,6/27/2005, pickup ,,delivery,no,40.66405,-73.98414,422 7th Ave,,,Brooklyn,11215,US,NY
Middle Eastern ,Russian,Uzbek,,Full Bar,Casual,Average,(718) 872-7888,FALSE,Nargis Cafe,https://www.yelp.com/biz/nargis-cafe-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,610,5,3/21/2010, pickup ,restaurant_reservation,delivery,no,40.58764267,-73.96073151,2818 Coney Island Ave,,,Brooklyn,11235,US,NY
American (New) ,Seafood,,,Beer & Wine Only,Casual,Quiet,,FALSE,Honey Badger,https://www.yelp.com/biz/honey-badger-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4,77,5,1/21/2017,pickup,restaurant_reservation,delivery,no,40.65816959,-73.96005096,67 Fenimore St,,,Brooklyn,11225,US,NY
Caribbean ,American (New),,,Full Bar,"Casual, Trendy, Intimate, Romantic, Upscale",Average,(718) 923-0100,FALSE,Imani Caribbean Kitchen & Bar,https://www.yelp.com/biz/imani-caribbean-kitchen-and-bar-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,211,5,4/27/2018, pickup ,restaurant_reservation,delivery,no,40.689413,-73.970866,271 Adelphi St,,,Brooklyn,11205,US,NY
Burgers ,Ice Cream & Frozen Yogurt,,,Beer & Wine Only,Casual,Average,(718) 307-7599,FALSE,Shake Shack,https://www.yelp.com/biz/shake-shack-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,814,5,12/20/2011,pickup,,,no,40.6920881,-73.9888694,409 Fulton St,,,Brooklyn,11201,US,NY
Cinema ,Bars,DinnerTheater,,Full Bar,Casual,Average,(718) 384-3980,FALSE,Nitehawk Cinema - Prospect Park,https://www.yelp.com/biz/nitehawk-cinema-prospect-park-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3.5,83,5,12/19/2018,,,,no,40.66154,-73.97962,188 Prospect Park W,,,Brooklyn,11215,US,NY
Sushi Bars ,Cocktail Bars,Tapas/SmallPlates,,Full Bar,"Casual, Trendy, Romantic, Upscale",Average,(718) 473-9555,FALSE,Sugarcane Raw Bar Grill,https://www.yelp.com/biz/sugarcane-raw-bar-grill-brooklyn-7?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4,323,5,9/15/2017,pickup,restaurant_reservation,delivery,no,40.703799,-73.992343,55 Water St,,,Brooklyn,11201,US,NY
Turkish ,Mediterranean,Breakfast&Brunch,,Full Bar,Classy,Average,(718) 676-2992,FALSE,Opera Cafe & Lounge,https://www.yelp.com/biz/opera-cafe-and-lounge-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,556,5,7/15/2012,pickup,restaurant_reservation,delivery,no,40.58387,-73.94463,2255 Emmons Ave,,,Brooklyn,11235,US,NY
Chinese,,,,Full Bar,"Casual, Trendy",Average,(718) 858-0588,FALSE,Han Dynasty,https://www.yelp.com/biz/han-dynasty-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,185,5,10/20/2017, pickup ,restaurant_reservation,delivery,no,40.69113196,-73.98259778,1 Dekalb Ave,,,Brooklyn,11201,US,NY
American (New),,,,No,"Casual, Trendy",Average,(718) 484-7065,FALSE,Golda,https://www.yelp.com/biz/golda-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,72,5,8/13/2017,pickup,, delivery ,no,40.68151,-73.95591,504 Franklin Ave,,,Brooklyn,11238,US,NY
Cajun/Creole ,Southern,,,Full Bar,Casual,Average,(929) 234-3500,FALSE,Tchoup Shop,https://www.yelp.com/biz/tchoup-shop-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,221,5,9/6/2009,pickup,,,no,40.70565,-73.92161,50 Wyckoff Ave,,,Brooklyn,11237,US,NY
Sushi Bars ,Soup,Desserts,,No,Casual,Quiet,(347) 789-9875,FALSE,Silver Rice,https://www.yelp.com/biz/silver-rice-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,74,5,3/18/2016,pickup,, delivery ,no,40.65974108,-73.96042395,575A Flatbush Ave,,,Brooklyn,11225,US,NY
Japanese ,Food Court,,,Beer & Wine Only,,,,FALSE,Japan Village,https://www.yelp.com/biz/japan-village-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3,142,3,11/18/2018,pickup,,,no,40.65597,-74.00641,934 3rd Ave,,,Brooklyn,11232,US,NY
Pizza ,Italian,,,Beer & Wine Only,Casual,Average,(718) 965-8400,FALSE,Table 87 Coal Oven Pizza,https://www.yelp.com/biz/table-87-coal-oven-pizza-brooklyn-4?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,273,5,4/29/2014,pickup,, delivery ,no,40.670664,-73.991371,473 3rd Ave,,,Brooklyn,11215,US,NY
Bars ,Caribbean,,,Full Bar,,,(718) 304-4644,FALSE,Bellyful,https://www.yelp.com/biz/bellyful-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,,4.5,38,4,6/16/2018,pickup,restaurant_reservation, delivery ,no,40.620334,-73.927292,2102 Utica Ave,,,Brooklyn,11234,US,NY
Hong Kong Style Cafe,,,,No,Casual,Average,(718) 333-1388,FALSE,Kowloon Cafe,https://www.yelp.com/biz/kowloon-cafe-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$,3,228,4,3/3/2009,pickup,,delivery,no,40.59982,-73.98976,2365 86th St,,,Brooklyn,11214,US,NY
Scandinavian ,Bars,,,Full Bar,"Trendy, Intimate, Romantic, Classy, Upscale",Quiet,(929) 337-6792,FALSE,Aska,https://www.yelp.com/biz/aska-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$$,4.5,85,5,8/14/2016,,restaurant_reservation,,no,40.71226,-73.96641,47 South 5th St,,,Brooklyn,11249,US,NY
Italian,,,,Beer & Wine Only,Casual,Average,(718) 783-4565,FALSE,Al Di La Trattoria,https://www.yelp.com/biz/al-di-la-trattoria-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4,838,1,1/12/2006,,,,no,40.67533264,-73.98134048,248 5th Ave,,,Brooklyn,11215,US,NY
Vietnamese,,,,Beer & Wine Only,Casual,Average,(718) 788-7755,FALSE,Ha Noi Vietnamese Kitchen,https://www.yelp.com/biz/ha-noi-vietnamese-kitchen-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3.5,247,4,5/3/2011,pickup,restaurant_reservation,delivery,no,40.66666,-73.9814899,448 9th St,,,Brooklyn,11215,US,NY
Chicken Wings ,Korean,AsianFusion,,,,Average,(718) 596-6078,FALSE,Bonchon - Willoughby,https://www.yelp.com/biz/bonchon-willoughby-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3.5,63,5,7/17/2018,pickup,restaurant_reservation,delivery,no,40.69196,-73.9858,68 Willoughby Street,,,Brooklyn,11201,US,NY
Indian,,,,No,Casual,Quiet,(718) 282-7012,FALSE,Gandhi Fine Indian Cuisine,https://www.yelp.com/biz/gandhi-fine-indian-cuisine-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,349,3,3/17/2010,pickup,, delivery ,no,40.6552099,-73.95648,2032 Bedford Ave,,,Brooklyn,11226,US,NY
Hot Pot ,Chinese,,,No,Casual,Average,(718) 331-1818,FALSE,Hot Spot Nabe,https://www.yelp.com/biz/hot-spot-nabe-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4,79,5,2/8/2016,,restaurant_reservation,,no,40.61515,-73.9946,7204 18th Ave,,,Brooklyn,11204,US,NY
Basque ,Bars,Breakfast&Brunch,,Beer & Wine Only,"Hipster, Casual",Average,(347) 295-0308,FALSE,Brooklyn Cider House,https://www.yelp.com/biz/brooklyn-cider-house-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,154,5,12/15/2017,,restaurant_reservation,,no,40.70516,-73.9272699,1100 Flushing Ave,,,Brooklyn,11237,US,NY
Vietnamese,,,,No,Casual,Quiet,(718) 885-7722,FALSE,Pho 60,https://www.yelp.com/biz/pho-60-brooklyn-8?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,140,5,3/15/2018,pickup,restaurant_reservation,delivery,no,40.63286105,-74.00495969,1001 60th St,,,Brooklyn,11219,US,NY
American (New) ,Breakfast & Brunch,,,Beer & Wine Only,Casual,Average,(718) 783-3800,FALSE,Rose Water,https://www.yelp.com/biz/rose-water-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,631,5,12/5/2005,pickup,restaurant_reservation,delivery,no,40.67565,-73.97813,787 Union St,,,Brooklyn,11215,US,NY
Pizza ,Sandwiches,Burgers,,Full Bar,"Hipster, Casual, Trendy",Average,(718) 360-4535,FALSE,Emmy Squared - Brooklyn,https://www.yelp.com/biz/emmy-squared-brooklyn-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,526,5,4/20/2016,pickup,restaurant_reservation,delivery,no,40.712166,-73.955705,364 Grand St,,,Brooklyn,11211,US,NY
Bars ,Italian,PastaShops,,Full Bar,Casual,Average,(718) 852-0001,FALSE,LaRina Pastificio & Vino,https://www.yelp.com/biz/larina-pastificio-and-vino-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,109,5,8/13/2016,pickup,restaurant_reservation,delivery,no,40.69336319,-73.97041321,387 Myrtle Ave,,,Brooklyn,11205,US,NY
Italian ,American (New),Bars,,Full Bar,Casual,,(718) 576-6120,FALSE,Faun,https://www.yelp.com/biz/faun-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4,120,4,7/30/2016,,restaurant_reservation,,no,40.67826,-73.96885,606 Vanderbilt Ave,,,Brooklyn,11238,US,NY
Haitian,,,,Full Bar,"Casual, Intimate",Average,(718) 858-4160,FALSE,La Caye Restaurant,https://www.yelp.com/biz/la-caye-restaurant-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3.5,339,5,6/17/2012,pickup,restaurant_reservation,,no,40.687133,-73.977615,35 Lafayette Ave,,,Brooklyn,11217,US,NY
Japanese ,Cocktail Bars,,,Full Bar,"Trendy, Intimate, Romantic, Classy",Average,(347) 223-4811,FALSE,Karasu,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4,76,5,6/6/2016,,restaurant_reservation,,no,40.689411,-73.973256,166 Dekalb Ave,,Walter's,Brooklyn,11217,US,NY
Seafood ,French,,,No,Intimate,Average,(718) 855-2632,FALSE,Petite Crevette,https://www.yelp.com/biz/petite-crevette-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,309,4,7/25/2007,pickup,,,no,40.68396,-74.0018,144 Union St,,,Brooklyn,11231,US,NY
Chinese ,Hot Pot,,,Beer & Wine Only,Casual,Loud,(718) 633-5197,FALSE,Mister Hotpot,https://www.yelp.com/biz/mister-hotpot-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,423,5,10/5/2011,,restaurant_reservation,,no,40.6394,-74.005859,5306 8th Ave,,,Brooklyn,11220,US,NY
French ,Bars,,,Full Bar,,,(718) 734-2220,FALSE,Citroën,https://www.yelp.com/biz/citro%C3%ABn-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,,4.5,33,5,11/22/2018,,restaurant_reservation,,no,40.7312,-73.95459,931 Manhattan Ave,,,Brooklyn,11222,US,NY
Barbeque,,,,,,,(347) 350-9630,FALSE,Au Jus,https://www.yelp.com/biz/au-jus-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,,5,1,5,2/12/2019,,,,yes,40.67671598,-73.96341193,687 Washington Ave,,,Brooklyn,11238,US,NY
Izakaya,,,,,,,(718) 832-4554,FALSE,Toribei,https://www.yelp.com/biz/toribei-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,,4.5,12,5,10/20/2018,, restaurant_reservation,,no,40.67451802,-73.98205963,276 5th Ave,,,Brooklyn,11215,US,NY
Pubs ,German,Venues&EventSpaces,,Full Bar,Casual,Loud,(718) 963-3973,FALSE,Radegast Hall and Biergarten,https://www.yelp.com/biz/radegast-hall-and-biergarten-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,1273,4,12/2/2007,pickup,,,no,40.716641,-73.961498,113 N 3rd St,,,Brooklyn,11249,US,NY
Burgers,,,,No,Casual,Average,(718) 495-2474,FALSE,Island Burger,https://www.yelp.com/biz/island-burger-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$,3.5,147,5,8/30/2011,pickup,,delivery,no,40.6617093,-73.93178,504 Utica Ave,,,Brooklyn,11203,US,NY
Italian,,,,Full Bar,Casual,Average,(718) 384-8831,FALSE,Bamonte's,https://www.yelp.com/biz/bamontes-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,314,5,5/9/2005,pickup,restaurant_reservation,,no,40.716579,-73.951174,32 Withers St,,,Brooklyn,11211,US,NY
Wine Bars ,Tapas/Small Plates,SpecialtyFood,,Beer & Wine Only,"Casual, Intimate, Romantic, Classy",Very Loud,(929) 337-6412,FALSE,Denizen,https://www.yelp.com/biz/denizen-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,100,5,12/2/2016,,restaurant_reservation,,no,40.7162683,-73.9554395,88 Roebling St,,,Brooklyn,11211,US,NY
Pizza ,Cocktail Bars,,,Full Bar,Casual,Average,(718) 513-6084,FALSE,ZuriLee Restaurant,https://www.yelp.com/biz/zurilee-restaurant-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,230,5,11/21/2015,pickup,restaurant_reservation,,no,40.654557,-73.959409,755 Flatbush Ave,,,Brooklyn,11226,US,NY
American (New) ,French,Bars,,Full Bar,"Casual, Intimate",Average,(718) 230-3471,FALSE,Hill Cafe,https://www.yelp.com/biz/hill-cafe-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,136,4,2/26/2011,pickup,restaurant_reservation,,no,40.68277807,-73.9621102,17 Putnam Ave,,,Brooklyn,11238,US,NY
Seafood ,Cocktail Bars,,,Full Bar,Trendy,Average,(718) 643-1503,FALSE,Grand Army,https://www.yelp.com/biz/grand-army-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3.5,151,4,5/9/2015,,restaurant_reservation,,no,40.688182,-73.986572,336 State St,,,Brooklyn,11201,US,NY
Japanese ,Noodles,Soup,,Full Bar,Hipster,Average,(718) 599-6161,FALSE,Samurai Mama,https://www.yelp.com/biz/samurai-mama-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,553,5,9/8/2010,pickup,,,no,40.71402088,-73.96032572,205 Grand St,,,Brooklyn,11211,US,NY
Italian,,,,Full Bar,Intimate,Average,(718) 745-2269,FALSE,Mama Rao Cucina Italiana,https://www.yelp.com/biz/mama-rao-cucina-italiana-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4.5,180,5,8/9/2008,pickup,restaurant_reservation,,no,40.6291809,-74.0057526,6408 11th Ave,,,Brooklyn,11219,US,NY
